# Frequency = 1.0152402574283518E10
# xIndex	yIndex	zIndex	AbsFmx	AbsFmy	AbsFmz	ArgFmx	ArgFmy	ArgFmz
5	9	0	2.576639584859942	9.870022604889426	10.803810826453583	-2.2605507170984094	0.8630712539184908	2.4056314786265567
5	10	0	2.6663899945204195	10.28439733931808	11.133532126089104	-2.2606568544760384	0.8626985622053394	2.4056649460966097
5	11	0	2.6924714509780077	10.585720280914632	11.213702109759556	-2.2608964216428307	0.8625274288592998	2.405768085653736
5	15	0	1.8151432847762468	6.629642110529627	6.946488719810473	-2.3909759374665374	0.7332919307180517	2.264128898099308
5	16	0	1.6960295194794024	6.484472587992695	6.826482480607924	-2.3915542963030125	0.7323925321577807	2.2642553515940405
5	17	0	1.6339448396499732	6.441208914743491	6.794137821543786	-2.3927369979312028	0.7309544448987033	2.2645707429476856
5	18	0	1.5944276167019902	6.457648447502688	6.818851525600531	-2.392903364680827	0.730371060975754	2.26457072151183
5	19	0	1.6070599277836257	6.594731201846135	6.921833782885748	-2.3934045623079148	0.7295231318863641	2.2646718029089627
5	24	0	0.34361847640036886	1.2590270953037335	1.197506310217352	-2.8167181126274308	0.3122868284840711	1.7622837593213945
5	25	0	0.3243985975615324	1.225029483679035	1.1927487662813736	-2.82160590899175	0.3067742709154922	1.7628655669436855
5	26	0	0.3120303514191958	1.1982812563299885	1.1874067911660033	-2.8297271059497238	0.2982129779147087	1.7647890100635635
5	27	0	0.3048077404063564	1.1812869501744332	1.1898621857095306	-2.835565925745544	0.2920480926511187	1.7647397125761388
5	28	0	0.30347307990498107	1.177749661704611	1.1950255075885807	-2.8421753052043006	0.28524602291309237	1.7663316263894597
5	29	0	0.30963002317685284	1.192499830451861	1.2052378755466289	-2.845250759225333	0.28229384643597144	1.7664097739750162
6	6	0	2.899860022901171	10.456519412660953	11.221582505993986	-2.260739699834931	0.8635814010095714	2.405415125279439
